Year,Adelaide,Brisbane Lions,Carlton,Collingwood,Essendon,Fremantle,Geelong,Gold Coast,Greater Western Sydney,Hawthorn,Melbourne,North Melbourne,Port Adelaide,Richmond,St Kilda,Sydney,West Coast,Western Bulldogs
2012,1969,1890,1975,2017,2003,2096,2074,1787,1789,2055,1832,1941,1777,2027,2099,1641,2086,1919
2013,2085,1819,1800,2169,2213,2190,2032,1792,1869,1940,1816,2064,1871,2171,2037,1560,1924,1676
2014,1872,1882,2031,1872,2399,1964,2096,1609,1920,2041,1945,1978,1983,1921,2018,1831,1958,1575
2015,1926,1975,1838,1834,2104,2069,2039,1676,2020,2245,1785,1928,1924,2130,2120,2046,2024,1915
2016,2097,1600,1977,1968,2238,1871,2159,1921,2088,2043,1792,1895,1626,2140,2029,1784,1900,2049
2017,1969,2067,2288,2326,2305,1998,1899,2120,1972,2274,1883,1828,2085,1888,2050,2002,2158,1849
2018,2014,2184,1910,2041,2122,2016,1989,1703,1935,2070,1924,1820,1988,1826,2067,1947,2229,1972
2019,2080,1974,1992,2308,1919,1880,1994,1908,2341,2018,1916,1791,1932,1943,1998,2001,2164,2059
2020,1006,1308,1200,1238,1121,1231,1422,1140,1244,1122,1212,1084,1171,1244,1262,1116,1331,1089
2021,1758,2081,2098,2360,2048,1980,2308,2309,2020,2053,1997,2195,2073,1983,2127,2081,2363,1931
